ID,Age,Gender,InterpenetrationFeedback,Part,Block,TrialInBlock,Trial,FullyShaded,NrOfAdjustments,InterpenetrationTime,TrialTime,FirstContactTime,MaxInterpenetration,AverageInterpenetration,AverageOffsetFromSurface,ReleaseReactionTime,Completed,Attempts,Skipped,RespTime,Precision,Sensation,Pain,ActualValue
12,27,Female,Visual,Part 1,2,6.4,30.4,1.5,0,3.5711121,7.0945682,2.2050966,0.011107889,0.008172137,0.004799442,0.55634154,1,1,0,7.0705751,0.001349115,3.1,4.5,3.9
12,27,Female,Both,Part 2,4,6.3,54.3,1.5,0,3.6033325,6.5748597,1.6143676,0.010037643,0.006797719,0.006883886,0.58865966,1,1,0,6.5512878,0.001149974,3.7,7.3,5.9
12,27,Female,Electrotactile,Part 2,5,6.2,66.2,1.5,0,3.4666747,6.3371581,1.5052369,0.008955636,0.005556512,0.006272364,0.45183107,1,1,0,6.3135743,0.001081327,3.7,7.3,5.9
12,27,Female,NoFeedback,Part 2,7,6.5,90.5,1.5,0,3.4933227,6.2350343,1.3981813,0.018451504,0.012537737,0.005006572,0.47786865,1,1,0,6.211438,0.00329203,3.7,7.3,5.9
12,27,Female,Visual,Part 2,6,6,78,1.5,0,3.5422119,6.3815309,1.4859985,0.008350365,0.00634314,0.006390438,0.52706298,1,1,0,6.3580689,8.61E-04,3.7,7.3,5.9
13,24,Female,Both,Part 1,3,6.3,42.3,1.5,0,3.805554,7.5832277,2.3162598,0.017454211,0.013651194,0.005866371,0.78972168,1,1,0,7.5589906,0.00166554,1.1,1.9,1.6
13,24,Female,Electrotactile,Part 1,2,6.5,30.5,1.5,0,3.7322144,7.8875734,2.7117798,0.013726503,0.01044207,0.003610512,0.71702273,1,1,0,7.8632996,0.001316445,1.1,1.9,1.6
13,24,Female,NoFeedback,Part 1,0,6.5,6.5,1.5,0.3,3.71221902,13.2184944,7.5126976,0.011895692,0.008781485,0.008223277,1.02644353,1,1,0,13.1938065,0.001352088,1.1,1.9,1.6
13,24,Female,Visual,Part 1,1,6.4,18.4,1.5,0,3.7288819,7.7976716,2.6907775,0.018376328,0.014567756,0.006819342,0.71323243,1,1,0,7.7731413,0.001609173,1.1,1.9,1.6
13,24,Female,Both,Part 2,7,6.4,90.4,1.5,0,3.7455689,7.2811034,2.138965,0.012935319,0.010357924,0.00299324,0.73029786,1,1,0,7.2573243,0.001178315,1.5,2.4,2
13,24,Female,Electrotactile,Part 2,6,6.5,78.5,1.5,0,3.6333373,7.4611328,2.4535644,0.014002594,0.010159406,0.003800683,0.61828613,1,1,0,7.4351929,0.001622485,1.5,2.4,2
13,24,Female,NoFeedback,Part 2,4,6.4,54.4,1.5,0.1,3.624457,6.6925782,1.696045,0.016627415,0.013038353,0.005772465,0.61288452,1,1,0,6.6686402,0.001602352,1.5,2.4,2
13,24,Female,Visual,Part 2,5,6.5,66.5,1.5,0,3.6766785,6.9857788,1.9376281,0.017572736,0.013808777,0.005133299,0.66203004,1,1,0,6.9618407,0.002099125,1.5,2.4,2
14,24,Male,Both,Part 1,2,6.5,30.5,1.5,0.4,3.1333496,8.5028561,3.2057495,0.010334347,0.005972362,0.018509515,0.51530762,1,1,0,8.4772703,0.001449076,2.2,4.1,3.3
14,24,Male,Electrotactile,Part 1,3,6.5,42.5,1.5,0,3.625537,7.5055416,2.446936,0.016753766,0.009952954,0.010597088,0.61060182,1,1,0,7.4817262,0.002833377,2.2,4.1,3.3
14,24,Male,NoFeedback,Part 1,1,6.4,18.4,1.5,0,3.8555665,7.7342984,2.4767853,0.017659345,0.01063425,0.008197794,0.83933412,1,1,0,7.7103609,0.003612682,2.2,4.1,3.3
14,24,Male,Visual,Part 1,0,6.5,6.5,1.5,0.1,4.0499999,8.8837857,3.1799866,0.015178328,0.009059365,0.00989517,1.13272094,1,1,0,8.8594113,0.002171044,2.2,4.1,3.3
14,24,Male,Both,Part 2,6,6.5,78.5,1.5,0.4,2.9666504,8.6572385,2.4235961,0.009348467,0.005113044,0.01928767,0.069543422,1,1,0,8.6338136,0.001636825,3.5,4.6,4.1
14,24,Male,Electrotactile,Part 2,7,6.4,90.4,1.5,0.1,3.4133544,7.5843263,2.7106689,0.012811464,0.007697488,0.014119878,0.39896239,1,1,0,7.5606933,0.00185105,3.5,4.6,4.1
14,24,Male,NoFeedback,Part 2,5,6.5,66.5,1.5,0,3.6233155,7.1456239,2.162036,0.017104426,0.010094095,0.007587045,0.60773316,1,1,0,7.1221741,0.003048957,3.5,4.6,4.1
14,24,Male,Visual,Part 2,4,6.5,54.5,1.5,0,3.6399963,7.1512269,2.1244383,0.012350377,0.007323316,0.00798393,0.62459718,1,1,0,7.1276306,0.002231858,3.5,4.6,4.1
15,24,Male,Both,Part 1,1,6.5,18.5,1.5,0,3.648883,7.1778808,2.1645233,0.004734351,0.003717444,0.011608417,0.63358764,1,1,0,7.1540253,4.36E-04,1.2,2,1.7
15,24,Male,Electrotactile,Part 1,0,6.5,6.5,1.5,0,3.5622223,7.7354035,2.7530899,0.005550271,0.004226907,0.011211253,0.54691163,1,1,0,7.7111801,7.49E-04,1.2,2,1.7
15,24,Male,NoFeedback,Part 1,2,6.5,30.5,1.5,0,3.6577698,10.5063777,5.4972956,0.007499255,0.006079002,0.008104691,0.64382016,1,1,0,10.4824927,6.11E-04,1.2,2,1.7
15,24,Male,Visual,Part 1,3,6.2,42.2,1.5,0,3.5933288,8.2141051,3.2484435,0.005783236,0.004210471,0.008547679,0.576886,1,1,0,8.190259,5.01E-04,1.2,2,1.7
15,24,Male,Both,Part 2,5,6.5,66.5,1.5,0,3.5544374,7.7809265,2.6726135,0.004419156,0.003089659,0.010444873,0.53858031,1,1,0,7.7574282,6.63E-04,1.9,3,2.6
15,24,Male,Electrotactile,Part 2,4,6.5,54.5,1.5,0,3.5744447,7.813153,2.7696838,0.005500567,0.004111608,0.010057903,0.56009522,1,1,0,7.7895508,6.10E-04,1.9,3,2.6
