ID,Age,Gender,InterpenetrationFeedback,Part,Block,TrialInBlock,Trial,FullyShaded,NrOfAdjustments,InterpenetrationTime,TrialTime,FirstContactTime,MaxInterpenetration,AverageInterpenetration,AverageOffsetFromSurface,ReleaseReactionTime,Completed,Attempts,Skipped,RespTime,Precision,Sensation,Pain,ActualValue
13,24,Female,Both,Part 1,3,6.3,42.3,1.5,0,3.805554,7.5832277,2.3162598,-4.048174341394643,-4.2939282886491945,0.0058663710000000004,0.78972168,1,1,0,7.5589906,-6.39760588380717,0.09531017980432493,0.6418538861723947,0.47000362924573563
13,24,Female,Electrotactile,Part 1,2,6.5,30.5,1.5,0,3.7322144,7.8875734,2.7117798,-4.288426789385406,-4.561912440319636,0.003610512,0.71702273,1,1,0,7.8632996,-6.632820357340794,0.09531017980432493,0.6418538861723947,0.47000362924573563
13,24,Female,Both,Part 2,7,6.4,90.4,1.5,0,3.7455689,7.2811034,2.138965,-4.347793801877851,-4.570003448331163,0.00299324,0.73029786,1,1,0,7.2573243,-6.743669827121475,0.4054651081081644,0.8754687373538999,0.6931471805599453
13,24,Female,Electrotactile,Part 2,6,6.5,78.5,1.5,0,3.6333373,7.4611328,2.4535644,-4.268512680815871,-4.58935530310785,0.003800683,0.61828613,1,1,0,7.4351929,-6.42379635442106,0.4054651081081644,0.8754687373538999,0.6931471805599453
14,24,Male,Both,Part 1,2,6.5,30.5,1.5,0.4,3.1333496,8.5028561,3.2057495,-4.572282271202081,-5.120612784933306,0.018509515,0.51530762,1,1,0,8.4772703,-6.53682916705355,0.7884573603642703,1.410986973710262,1.1939224684724346
14,24,Male,Electrotactile,Part 1,3,6.5,42.5,1.5,0,3.625537,7.5055416,2.446936,-4.089132210161951,-4.609885887450985,0.010597088,0.61060182,1,1,0,7.4817262,-5.86628599250803,0.7884573603642703,1.410986973710262,1.1939224684724346
14,24,Male,Both,Part 2,6,6.5,78.5,1.5,0.4,2.9666504,8.6572385,2.4235961,-4.672542906343247,-5.275960357405949,0.01928767,0.069543422,1,1,0,8.6338136,-6.414996889178764,1.252762968495368,1.5260563034950492,1.410986973710262
14,24,Male,Electrotactile,Part 2,7,6.4,90.4,1.5,0.1,3.4133544,7.5843263,2.7106689,-4.357414883889323,-4.866861237114544,0.014119878,0.39896239,1,1,0,7.5606933,-6.29200223332989,1.252762968495368,1.5260563034950492,1.410986973710262
15,24,Male,Both,Part 1,1,6.5,18.5,1.5,0,3.648883,7.1778808,2.1645233,-5.3529106261522195,-5.594718943630446,0.011608417,0.63358764,1,1,0,7.1540253,-7.737868314615239,0.1823215567939546,0.6931471805599453,0.5306282510621704
15,24,Male,Electrotactile,Part 1,0,6.5,6.5,1.5,0,3.5622223,7.7354035,2.7530899,-5.193908523587053,-5.466284759058965,0.011211253,0.54691163,1,1,0,7.7111801,-7.196771574447054,0.1823215567939546,0.6931471805599453,0.5306282510621704
15,24,Male,Both,Part 2,5,6.5,66.5,1.5,0,3.5544374,7.7809265,2.6726135,-5.42180655135209,-5.779694550149208,0.010444873,0.53858031,1,1,0,7.7574282,-7.318735567778412,0.6418538861723947,1.0986122886681098,0.9555114450274363
15,24,Male,Electrotactile,Part 2,4,6.5,54.5,1.5,0,3.5744447,7.813153,2.7696838,-5.202904101148124,-5.493941086112836,0.010057903,0.56009522,1,1,0,7.7895508,-7.402051600796917,0.6418538861723947,1.0986122886681098,0.9555114450274363
16,31,Male,Both,Part 1,0,6.5,6.5,1.5,0,4.5211119,20.519639,12.5373472,-4.709220227359224,-4.9083371326623215,0.011227278,1.50666202,1,1,0,20.495654,-7.374564017331354,0.47000362924573563,1.1314021114911006,0.9162907318741551
16,31,Male,Electrotactile,Part 1,1,6.3,18.3,1.5,0,4.0544373,12.921985,6.2845763,-4.45705962529453,-4.6271269818402025,0.006907686,1.03884885,1,1,0,12.8983956,-7.02541332245037,0.47000362924573563,1.1314021114911006,0.9162907318741551
16,31,Male,Both,Part 2,4,6.4,54.4,1.5,0,3.6355591,8.9003905,3.6822389,-4.611272165254267,-4.751185696222551,0.010307084,0.61968994,1,1,0,8.8767458,-7.277370734196604,0.4054651081081644,1.0647107369924282,0.8329091229351039
16,31,Male,Electrotactile,Part 2,5,6.5,66.5,1.5,0,3.4755616,8.9804075,4.0617188,-4.80626730568947,-4.975778898429226,0.010462446,0.45942383,1,1,0,8.9568604,-7.478684826817833,0.4054651081081644,1.0647107369924282,0.8329091229351039
18,31,Male,Both,Part 1,2,6.5,30.5,1.5,0,3.4888916,7.6421204,2.7070067,-5.01235286828267,-5.449423086973124,0.007988899,0.47401122,1,1,0,7.6164978,-7.1808772001025885,0.26236426446749106,0.9162907318741551,0.6931471805599453
18,31,Male,Electrotactile,Part 1,3,6.5,42.5,1.5,0,3.4988892,7.3101319,2.3620972,-5.003563657164842,-5.347066531557946,0.006907847,0.48461306,1,1,0,7.2864076,-7.212922665774937,0.26236426446749106,0.9162907318741551,0.6931471805599453
18,31,Male,Both,Part 2,6,6.5,78.5,1.5,0,3.4766723,8.2263062,3.2151,-5.041645426508113,-5.343576691473227,0.008588563,0.46132812,1,1,0,8.2027102,-7.241830391003629,0.5877866649021191,1.2237754316221157,1.0296194171811581
18,31,Male,Electrotactile,Part 2,7,6.5,90.5,1.5,0,3.4800049,7.4532837,2.5344361,-5.349423099578949,-5.658240437085998,0.010312774,0.46477051,1,1,0,7.4298341,-7.577185932924766,0.5877866649021191,1.2237754316221157,1.0296194171811581
19,23,Male,Both,Part 1,1,6.5,18.5,1.5,0.1,3.4922332,8.450632,3.17352,-4.6891074927768575,-5.1529222767039915,0.008951463,0.47646486,1,1,0,8.4246121,-6.717678042044518,0.7419373447293773,1.4586150226995167,1.2237754316221157
19,23,Male,Electrotactile,Part 1,0,6.4,6.4,1.5,0,3.6844453,7.8433408,2.4593233,-3.9207404925455496,-4.3073510179465435,0.006529113,0.66936949,1,1,0,7.8190888,-5.705829768933686,0.7419373447293773,1.4586150226995167,1.2237754316221157
19,23,Male,Both,Part 2,5,6.4,66.4,1.5,0.1,3.7511353,8.8481994,3.4292175,-4.856120280646553,-5.637164741578669,0.01584462,0.91032713,1,1,0,8.8245606,-6.827515359986801,1.1631508098056809,2.1972245773362196,1.9021075263969205
19,23,Male,Electrotactile,Part 2,4,6.5,54.5,1.5,0.2,3.4088866,7.2868348,1.99944462,-4.765924790470054,-5.231252352184014,0.016561403,0.611554,1,1,0,7.2632874,-6.616777393693135,1.1631508098056809,2.1972245773362196,1.9021075263969205
21,24,Female,Both,Part 1,3,6.4,42.4,1.5,0,3.7022217,10.3445797,4.8930238,-4.1033785056864795,-4.303707849023471,0.007773254,0.68764646,1,1,0,10.3200137,-6.216738866897855,-0.2231435513142097,0.4054651081081644,0.1823215567939546
