ID,Age,Gender,InterpenetrationFeedback,Part,Block,TrialInBlock,Trial,FullyShaded,NrOfAdjustments,InterpenetrationTime,TrialTime,FirstContactTime,MaxInterpenetration,AverageInterpenetration,AverageOffsetFromSurface,ReleaseReactionTime,Completed,Attempts,Skipped,RespTime,Precision
13,24,Female,Electrotactile,Part 2,6,6.5,78.5,1.5,0,3.6333373,7.4611328,2.4535644,0.0140025936,0.0101594063,0.0038006827,0.61828613,1,1,0,7.4351929,0.0016224854
21,24,Female,Electrotactile,Part 2,6,6.4,78.4,1.5,0,4.0044433999999995,7.9009519,2.4903809,0.021983867,0.0147974082,0.0088712509,0.98959961,1,1,0,7.8768309,0.0037545744
6,25,Female,Electrotactile,Part 2,7,6.4,90.4,1.5,0,3.5088989,6.623681700000001,1.7822508,0.0094895615,0.0056229223,0.0073340725,0.49340818999999997,1,1,0,6.6000244,0.0014801900000000002
23,26,Female,Electrotactile,Part 2,4,6.3,54.3,1.5,0,3.5622254,7.8663147,2.8081116,0.0077920346,0.0064719699,0.00778105,0.54642945,1,1,0,7.842639,5.373308e-4
12,27,Female,Electrotactile,Part 2,5,6.2,66.2,1.5,0,3.4666747,6.3371581,1.5052368999999999,0.0089556358,0.0055565119,0.0062723640999999995,0.45183107,1,1,0,6.3135743,0.0010813274
3,23,Male,Electrotactile,Part 2,4,6.3,54.3,1.5,0.1,3.236676,6.4851989,1.6747253,0.0065151782,0.0046650854,0.011421000800000001,0.22106325999999998,1,1,0,6.460425,5.480015000000001e-4
19,23,Male,Electrotactile,Part 2,4,6.5,54.5,1.5,0.2,3.4088866,7.286834799999999,1.99944462,0.0085150099,0.0053468251,0.016561403,0.611554,1,1,0,7.2632874,0.0013377346
1,24,Male,Electrotactile,Part 2,6,6.4,78.4,1.5,0,3.6011351,7.3135008,2.2642334,0.0179448533,0.0133641286,0.0062193482000000005,0.58735351,1,1,0,7.2886109,0.0023180166
8,24,Male,Electrotactile,Part 2,5,6.4,66.4,1.5,0.1,3.6666809000000002,9.045935,3.5834595,0.0131414059,0.0095651459,0.010090148699999999,0.65319822,1,1,0,9.0223457,0.0014165882
14,24,Male,Electrotactile,Part 2,7,6.4,90.4,1.5,0.1,3.4133544000000002,7.5843263,2.7106689,0.0128114636,0.0076974879,0.0141198781,0.39896239,1,1,0,7.5606933,0.0018510498999999999
15,24,Male,Electrotactile,Part 2,4,6.5,54.5,1.5,0,3.5744447,7.813153,2.7696838,0.0055005665,0.0041116079,0.0100579025,0.56009522,1,1,0,7.7895508,6.104939e-4
24,24,Male,Electrotactile,Part 2,5,6.5,66.5,1.5,0,3.7611327,7.4489258,2.312915,0.009676321,0.0068633509,0.0061893608,0.74609375,1,1,0,7.4222047,0.0011798197
2,25,Male,Electrotactile,Part 2,7,6.5,90.5,1.5,0,3.5333496,7.2068847,2.2220093,0.0126601882,0.0095924119,0.0036610629,0.51876221,1,1,0,7.181421,0.0014476432
4,25,Male,Electrotactile,Part 2,5,6.3,66.3,1.5,0,3.6177733,6.6659057,1.6066528,0.026456377,0.018392869,0.0097203207,0.60311279,1,1,0,6.6423464,0.0039142652
22,25,Male,Electrotactile,Part 2,7,6.4,90.4,1.5,0,3.6622071,10.7040276,5.3995973,0.0072666218,0.0051624819999999995,0.0090470575,0.6461914,1,1,0,10.680152,8.73969e-4
5,28,Male,Electrotactile,Part 2,6,6.3,78.3,1.5,0,3.5866638,7.3156188,2.2040953,0.0116129874,0.0094567138,0.0031709676,0.57092285,1,1,0,7.2900878,0.0010428959
16,31,Male,Electrotactile,Part 2,5,6.5,66.5,1.5,0,3.4755616,8.9804075,4.0617188,0.0081783302,0.0069031404,0.0104624458,0.45942383,1,1,0,8.9568604,5.645259e-4
18,31,Male,Electrotactile,Part 2,7,6.5,90.5,1.5,0,3.4800049,7.4532837,2.5344361,0.004750891,0.0034886503,0.010312774,0.46477051,1,1,0,7.4298341,5.11587e-4
7,33,Male,Electrotactile,Part 2,4,6.5,54.5,1.5,0.1,3.4022156,7.386676,2.27991329,0.0095376051,0.0079033841,0.0096096001,0.38673705999999997,1,1,0,7.3631288,8.34065e-4
10,25,Other,Electrotactile,Part 2,7,6.3,90.3,1.5,0,3.6144533,7.5233033,2.3476807,0.0116685313,0.0074719296,0.0056191146,0.59938965,1,1,0,7.4997314,0.0016206078
11,24,Female,NoFeedback,Part 2,6,6.5,78.5,1.5,0,3.5489135000000003,7.7420898,2.864917,0.0146495108,0.0106898439,0.0050810329,0.53432617,1,1,0,7.7184204,0.0021562761
13,24,Female,NoFeedback,Part 2,4,6.4,54.4,1.5,0.1,3.624457,6.6925782,1.696045,0.0166274148,0.013038353400000001,0.0057724653,0.6128845199999999,1,1,0,6.6686402000000005,0.0016023522
21,24,Female,NoFeedback,Part 2,4,6.5,54.5,1.5,0.1,3.26445318,7.9299862999999995,2.8492798,0.0190545794,0.012301192399999999,0.0141996577,0.24914552000000004,1,1,0,7.9058284,0.0019287805
6,25,Female,NoFeedback,Part 2,5,6.5,66.5,1.5,0,3.5244569,6.6359191,1.7728882000000001,0.022445885999999998,0.0150765187,0.007435114,0.50958252,1,1,0,6.6122559,0.004304496
23,26,Female,NoFeedback,Part 2,6,6.5,78.5,1.5,0,3.5733276,8.0286502,2.9686767,0.0118557367,0.0081481569,0.0075052735,0.5585449299999999,1,1,0,8.005078300000001,0.0013639313
12,27,Female,NoFeedback,Part 2,7,6.5,90.5,1.5,0,3.4933227000000002,6.2350343,1.3981813,0.018451504100000002,0.0125377374,0.005006572,0.47786865,1,1,0,6.211438,0.0032920295
3,23,Male,NoFeedback,Part 2,6,6.4,78.4,1.5,0,3.4455566,5.9897521000000005,1.2235473000000001,0.015011575,0.0094127428,0.004985237,0.42978517,1,1,0,5.9646789,0.001703387
